asset_id,evidence_ids,source_url,timecode,acquisition_mode,asset_type,rights_holder_label,rights_status,commercial_use,editorial_transform,web_scope,social_scope,territory,valid_from,valid_until,attribution,identifiable_people,people_clearance,third_party_elements,production_method,source_reuse_policy,production_notes,raw_sha256,derived_sha256,human_validation,permission_proof,permission_proof_sha256,publication_url,checked_on
AS-0320,EV-0320;EV-0321;EV-0322;EV-0323,https://www.youtube.com/watch?v=pCMYecKqpDg,04:26,youtube-embed,embed,La French Pizza,service-permitted,not-applicable,not-applicable,,,,,,La French Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0330,EV-0330;EV-0331;EV-0332;EV-0333;EV-0334,https://www.youtube.com/watch?v=o424Pz0WbyM,03:20,youtube-embed,embed,La French Pizza,service-permitted,not-applicable,not-applicable,,,,,,La French Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0340,EV-0340;EV-0341;EV-0342;EV-0343,https://www.youtube.com/watch?v=pwtuBDX-xI8,02:16,youtube-embed,embed,Boulangerie Pas à pas,service-permitted,not-applicable,not-applicable,,,,,,Boulangerie Pas à pas,,,,,,,,,not-applicable,,,,2026-08-23
AS-0350,EV-0350;EV-0351;EV-0352;EV-0353;EV-0354,https://www.youtube.com/watch?v=NIba3DA26XM,05:10,youtube-embed,embed,Avis Express - Testeur High-Tech,service-permitted,not-applicable,not-applicable,,,,,,Avis Express - Testeur High-Tech,,,,,,,,,not-applicable,,,,2026-08-23
AS-0360,EV-0360;EV-0361;EV-0362;EV-0363;EV-0364,https://www.youtube.com/watch?v=Sv4aEc0V594,05:14,youtube-embed,embed,La French Pizza,service-permitted,not-applicable,not-applicable,,,,,,La French Pizza,,,,,,,,,not-applicable,,,,2026-08-23
AS-0370,EV-0370;EV-0371;EV-0372;EV-0373;EV-0374,https://www.youtube.com/watch?v=fSADscR71oo,04:03,youtube-embed,embed,Barbecue Way Of Life,service-permitted,not-applicable,not-applicable,,,,,,Barbecue Way Of Life,,,,,,,,,not-applicable,,,,2026-08-23
AS-1000,,,,editorial-created,editorial-original,Four à Nu,original,yes,not-applicable,https://fouranu.com,,Monde,2026-08-23,,"Illustration éditoriale originale, direction Four à Nu",no,not-applicable,aucun,Direction éditoriale Four à Nu,disabled,Production ponctuelle archivée.,,22ff05a47bc75cf952687858e7b04edefcc8184d17c54f33f3e25f733ffba020,approved,,,https://fouranu.com/media/homepage-atelier-sketch-1536.webp,2026-08-23
AS-1001,,,,editorial-created,editorial-original,Four à Nu,original,yes,not-applicable,https://fouranu.com,,Monde,2026-08-23,,"Illustration éditoriale originale, direction Four à Nu",no,not-applicable,aucun,Direction éditoriale Four à Nu,disabled,Production ponctuelle archivée.,,dffc1c6ad379a15ee4a085e02172543783e6c69d9a3a6f181b93f3e608ebb96e,approved,,,https://fouranu.com/media/homepage-atelier-sketch-768.webp,2026-08-23
AS-1002,,,,fouranu-original,fouranu-original,Four à Nu,original,yes,not-applicable,https://fouranu.com,,Monde,2026-08-24,,Logo original Four à Nu,no,not-applicable,aucun,,,,834284e63c00b57d7f7bd38b955c2b889771d7e08e5f294ebc9aee611275bcb5,ef9a6a452622c18f66ac5f9db4619e17648253d9a68ffed5441c632ba11f0c66,approved,,,https://fouranu.com/brand/logo-fouranu.png,2026-08-24
AS-2000,EV-0300;EV-0301;EV-0302;EV-0303;EV-0304,https://www.youtube.com/watch?v=yBCZ_Mxh3FI,10:47,authorized-frame-capture,licensed-frame,Julien Serri,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Julien Serri,no,not-applicable,Fours Ooni; marques et décor de tournage visibles,,,,dc52543c696ea2f4ecbf358e084c563847f8b0b19fb11772e9da498f6c56ae58,3fb015670ed8ad278103ba66c122b1850195d49b5dc2296c13e0a3bb63303b35,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-gamme-documentee-documentary-1600.webp,2026-08-24
AS-2001,EV-0300;EV-0301;EV-0302;EV-0303;EV-0304,https://www.youtube.com/watch?v=yBCZ_Mxh3FI,10:47,authorized-frame-capture,licensed-frame,Julien Serri,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Julien Serri,no,not-applicable,Fours Ooni; marques et décor de tournage visibles,,,,dc52543c696ea2f4ecbf358e084c563847f8b0b19fb11772e9da498f6c56ae58,716879d5fff97af61fada99003e45cc3967cd240f24a49e5c69544435051acdd,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-gamme-documentee-documentary-960.webp,2026-08-24
AS-2002,EV-0340;EV-0341;EV-0342;EV-0343,https://www.youtube.com/watch?v=pwtuBDX-xI8,02:23,authorized-frame-capture,licensed-frame,Boulangerie Pas à pas,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Boulangerie Pas à pas,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,b42395a89fa65ba64df00aa669d1b4528d4b59ef991801701e99ba09e8ddf23c,af5dccd8940471eac8dcc126ef126a3cfde725f12736846a102a317ed28a6035,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-energies-volt-2-documentary-1600.webp,2026-08-24
AS-2003,EV-0340;EV-0341;EV-0342;EV-0343,https://www.youtube.com/watch?v=pwtuBDX-xI8,02:23,authorized-frame-capture,licensed-frame,Boulangerie Pas à pas,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Boulangerie Pas à pas,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,b42395a89fa65ba64df00aa669d1b4528d4b59ef991801701e99ba09e8ddf23c,1812c82679fc33c03871390801497058a5f28c8795c033004e43621e73abf37c,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-energies-volt-2-documentary-960.webp,2026-08-24
AS-2004,EV-0200;EV-0201;EV-0202;EV-0203;EV-0204,https://www.youtube.com/watch?v=wPschLywLbI,00:39,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,8e06f2a7a33c2c559d44aee6acd65541ee8207fd05dd515737dda582d75cc9ae,83627e925bbf8b2f475ed0b28569b5e6438ae9434a4ae3d2e592ea0e07729946,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-documentary-1600.webp,2026-08-24
AS-2005,EV-0200;EV-0201;EV-0202;EV-0203;EV-0204,https://www.youtube.com/watch?v=wPschLywLbI,00:39,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,8e06f2a7a33c2c559d44aee6acd65541ee8207fd05dd515737dda582d75cc9ae,6b4bddcdb1cfdfde8519553fcd0969b42a30ec8c29fdcc8baf2d22f758425592,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-documentary-960.webp,2026-08-24
AS-2006,EV-0220;EV-0221;EV-0222;EV-0223,https://www.youtube.com/watch?v=ZWr5-H1AQIs,01:08,authorized-frame-capture,licensed-frame,Got2EatPizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Got2EatPizza,no,not-applicable,Fours Ooni; marques et décor de tournage visibles,,,,f5139da4c193d010e281fb22cd4600ed67366cf20c950d465163dee69aa17f18,da6117734bfff39afed593e045dea35e30785220df38816d80ca1454b2d75a41,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-pro-documentary-1600.webp,2026-08-24
AS-2007,EV-0220;EV-0221;EV-0222;EV-0223,https://www.youtube.com/watch?v=ZWr5-H1AQIs,01:08,authorized-frame-capture,licensed-frame,Got2EatPizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Got2EatPizza,no,not-applicable,Fours Ooni; marques et décor de tournage visibles,,,,f5139da4c193d010e281fb22cd4600ed67366cf20c950d465163dee69aa17f18,eaa3e9f240707799756ebac75f310287958f64b7f498518d11383a5b0e28754f,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-pro-documentary-960.webp,2026-08-24
AS-2008,EV-0330;EV-0331;EV-0332;EV-0333;EV-0334,https://www.youtube.com/watch?v=o424Pz0WbyM,06:01,authorized-frame-capture,licensed-frame,La French Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de La French Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,5c900367d6cb3e26f158ab2c4ebe7d675d4d52b565be6cc4100e59131db0b227,09ed56434e4953329870db18792f7cf0f61a947f0aa3f296e639bba67f14d567,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-max-documentary-1600.webp,2026-08-24
AS-2009,EV-0330;EV-0331;EV-0332;EV-0333;EV-0334,https://www.youtube.com/watch?v=o424Pz0WbyM,06:01,authorized-frame-capture,licensed-frame,La French Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de La French Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,5c900367d6cb3e26f158ab2c4ebe7d675d4d52b565be6cc4100e59131db0b227,75ed21ad021d5a6b2ca4d3bf4b49bfc571bfb7e082af23239282c2933b6d60f8,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-2-max-documentary-960.webp,2026-08-24
AS-2010,EV-0040;EV-0041;EV-0042,https://www.youtube.com/watch?v=w2OBQ6qcpYQ,00:53,authorized-frame-capture,licensed-frame,Ooni,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme du Ooni Koda 12 de première génération; vidéo Ooni,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,7720ecc6f47eb0bbce8f4c6d8c7423e5209ea9231cea858e3ada5e55ca6a29cd,0c6b7a6971de0a1cb0a6d9dc5df7959a0cf4a28c192757d796498b2280798075,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-12-documentary-1600.webp,2026-08-24
AS-2011,EV-0040;EV-0041;EV-0042,https://www.youtube.com/watch?v=w2OBQ6qcpYQ,00:53,authorized-frame-capture,licensed-frame,Ooni,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme du Ooni Koda 12 de première génération; vidéo Ooni,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,7720ecc6f47eb0bbce8f4c6d8c7423e5209ea9231cea858e3ada5e55ca6a29cd,add89d5fefa800313fa1ba549f010b04600cca28b2d369a0e7f7f307825b708d,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-12-documentary-960.webp,2026-08-24
AS-2012,EV-0370;EV-0371;EV-0372;EV-0373;EV-0374,https://www.youtube.com/watch?v=fSADscR71oo,04:19,authorized-frame-capture,licensed-frame,Barbecue Way Of Life,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Barbecue Way Of Life,no,not-applicable,Four Ooni; thermomètre et décor de tournage visibles,,,,02ef229305b25deb8eccec9019567a86f2b996c693eae509e37e857c0f57816d,cd5467c839c49fedf02acfe8b51865a6794e3a4a9632c1824abe2cf1a09f394c,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-16-documentary-1600.webp,2026-08-24
AS-2013,EV-0370;EV-0371;EV-0372;EV-0373;EV-0374,https://www.youtube.com/watch?v=fSADscR71oo,04:19,authorized-frame-capture,licensed-frame,Barbecue Way Of Life,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Barbecue Way Of Life,no,not-applicable,Four Ooni; thermomètre et décor de tournage visibles,,,,02ef229305b25deb8eccec9019567a86f2b996c693eae509e37e857c0f57816d,540832eb840ef6791cd59bd92c6e4fc9670ca1199d93934f6ba4d015fcd93074,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-koda-16-documentary-960.webp,2026-08-24
AS-2014,EV-0240;EV-0241;EV-0242;EV-0243;EV-0244,https://www.youtube.com/watch?v=kkpPK3gsqko,00:25,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,85acad7031ae08324755e742f06aaaf1eabe393527d944c5999cfa4103c7ecda,15380460da7d90f1724d07ae2c748e70ce69bf7d5786700212056f7c33e4fb1a,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-2-documentary-1600.webp,2026-08-24
AS-2015,EV-0240;EV-0241;EV-0242;EV-0243;EV-0244,https://www.youtube.com/watch?v=kkpPK3gsqko,00:25,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,85acad7031ae08324755e742f06aaaf1eabe393527d944c5999cfa4103c7ecda,15b3f303bec4ebcb71aea5aaa07e4f6265a0817d2ddba0811c988d4eac16d3e0,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-2-documentary-960.webp,2026-08-24
AS-2016,EV-0250;EV-0251;EV-0252;EV-0253,https://www.youtube.com/watch?v=fxkTzr8GYwE,01:51,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,440debb139912420dc6a9cafebfbec48676ef7865902c9786ddaeb9e7f429e31,2e3485dbe099ccf557ddaf4030f35710863fdac119e325085c04df97f5711aaf,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-2-pro-documentary-1600.webp,2026-08-24
AS-2017,EV-0250;EV-0251;EV-0252;EV-0253,https://www.youtube.com/watch?v=fxkTzr8GYwE,01:51,authorized-frame-capture,licensed-frame,Pala Pizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Pala Pizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,440debb139912420dc6a9cafebfbec48676ef7865902c9786ddaeb9e7f429e31,b12c2fc09369fd203870fd9f98638400dbb0090e32e6c48148f1cbd374acd40a,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-2-pro-documentary-960.webp,2026-08-24
AS-2018,EV-0080;EV-0081;EV-0082,https://www.youtube.com/watch?v=hy4pX-hmZS0,00:30,authorized-frame-capture,licensed-frame,Ooni,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme du Ooni Karu 12 de première génération; vidéo Ooni,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,08a3e5b43a5ac51ed120bff689301a69bf98f33abe2e61c897fa6b72ecb70915,f732235984bab97a0c950926791a482215177986ef1c4a2ce5102a174d950c7b,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-12-documentary-1600.webp,2026-08-24
AS-2019,EV-0080;EV-0081;EV-0082,https://www.youtube.com/watch?v=hy4pX-hmZS0,00:30,authorized-frame-capture,licensed-frame,Ooni,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme du Ooni Karu 12 de première génération; vidéo Ooni,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,08a3e5b43a5ac51ed120bff689301a69bf98f33abe2e61c897fa6b72ecb70915,a7ea4b7a2fc501cbf3ce7e0e7371fae23fea1544ec35347c104944ae8af536f8,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-karu-12-documentary-960.webp,2026-08-24
AS-2020,EV-0260;EV-0261;EV-0262,https://www.youtube.com/watch?v=IyRNCq67iTA,03:33,authorized-frame-capture,licensed-frame,Got2EatPizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Got2EatPizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,e93f397abc907e862d5b6ce0bd86d3405fd86d1dd8af72039703bbc5c2c701d6,6d7bd388e9e0204f0cb979fefab10723ed1710f94451a91dbb531df7e33181ad,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-volt-2-documentary-1600.webp,2026-08-24
AS-2021,EV-0260;EV-0261;EV-0262,https://www.youtube.com/watch?v=IyRNCq67iTA,03:33,authorized-frame-capture,licensed-frame,Got2EatPizza,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de Got2EatPizza,no,not-applicable,Four Ooni; marque et décor de tournage visibles,,,,e93f397abc907e862d5b6ce0bd86d3405fd86d1dd8af72039703bbc5c2c701d6,cdcbac9e58a94ab2cd2d5e77c79d6603fc94f3f0fae42a6d1d3df509e7730930,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/ooni-volt-2-documentary-960.webp,2026-08-24
AS-2100,EV-0270;EV-0271;EV-0272;EV-0273;EV-0274,https://www.youtube.com/watch?v=JyGiNXvDxZY,03:00,authorized-frame-capture,licensed-frame,The Barbecue Lab,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de The Barbecue Lab,no,not-applicable,Four Gozney Arc XL; marque et décor de tournage visibles,,,,b175c356bad4023a623ae4cddaccc69b41b53624edc9bcc326a4eb4fbd555960,536e8519c2499c9ac869329b853d435be2e6f15875ae335353e18ce4bface201,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/gozney-arc-xl-in-situ-1600.webp,2026-08-24
AS-2101,EV-0270;EV-0271;EV-0272;EV-0273;EV-0274,https://www.youtube.com/watch?v=JyGiNXvDxZY,03:00,authorized-frame-capture,licensed-frame,The Barbecue Lab,granted,yes,no,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Photogramme de la vidéo de The Barbecue Lab,no,not-applicable,Four Gozney Arc XL; marque et décor de tournage visibles,,,,b175c356bad4023a623ae4cddaccc69b41b53624edc9bcc326a4eb4fbd555960,51bfc482aa00a38e25fed0f5468fedc3d83e87fb65d6fff30e13f1c1d46acc8b,approved,research/private/permissions/corpus-video-owner-attestation-2026-08-24.txt,7ff837e8a0fa5354007d6f78e127fc4a00bc91eefcfc11abd7e6d75300d3a43d,https://fouranu.com/images/articles/gozney-arc-xl-in-situ-960.webp,2026-08-24
AS-2102,EV-0500,https://eu.gozney.com/cdn/shop/files/ArcXLC_4.png?v=1742493934,,authorized-manufacturer-photo,editorial-illustration,Gozney,granted,yes,yes,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Illustration éditoriale d'après une photographie officielle Gozney,no,not-applicable,Four Gozney Arc XL; marque visible,Direction éditoriale Four à Nu,disabled,Production ponctuelle archivée.,50f31c7cf356fef17131d4aa23bdc5d501d0ba72a80093f732d8be9462f30755,79a24b69320f1dce526a0960f3c1d07b57c4c46cd298b73f663fcb84ed9208a4,approved,research/private/permissions/manufacturer-photo-owner-attestation-2026-08-24.txt,0344e063348cd39fd21c59d655317a0b21a3191ed962a5a9e6e486c172f7a21b,https://fouranu.com/images/articles/gozney-arc-xl-1600.webp,2026-08-24
AS-2103,EV-0500,https://eu.gozney.com/cdn/shop/files/ArcXLC_4.png?v=1742493934,,authorized-manufacturer-photo,editorial-illustration,Gozney,granted,yes,yes,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Illustration éditoriale d'après une photographie officielle Gozney,no,not-applicable,Four Gozney Arc XL; marque visible,Direction éditoriale Four à Nu,disabled,Production ponctuelle archivée.,50f31c7cf356fef17131d4aa23bdc5d501d0ba72a80093f732d8be9462f30755,f6462c06f51266353a9dcfe3f461081983e11c342369a112f285815a44a4d50d,approved,research/private/permissions/manufacturer-photo-owner-attestation-2026-08-24.txt,0344e063348cd39fd21c59d655317a0b21a3191ed962a5a9e6e486c172f7a21b,https://fouranu.com/images/articles/gozney-arc-xl-960.webp,2026-08-24
AS-2110,EV-0521;EV-0526,https://eu.gozney.com/cdn/shop/files/Tread_Black_1.png?v=1762196524&width=1500,,authorized-manufacturer-photo,editorial-illustration,Gozney,granted,yes,yes,https://fouranu.com,,Web mondial via fouranu.com,2026-08-24,,Illustration éditoriale d'après une photographie officielle Gozney,no,not-applicable,Gozney Tread; marque visible,Direction éditoriale Four à Nu,disabled,Production ponctuelle archivée.,ca039cfd9410b4c8eab6b4f3755491a9b748a57189f9c8ecc9bac6a30612565f,004465a3a1f0cc39a7c78041a5b947aee456d426cc1c09f9c86fe9bd5caeb731,approved,research/private/permissions/manufacturer-photo-owner-attestation-gozney-arc-lite-tread-2026-08-24.txt,2d9ff2572ecb76dc59385941d83074ebb0eb2df1bdd8b8ac5816f8de6e88d6d2,https://fouranu.com/images/articles/gozney-arc-lite-tread-1600.webp,2026-08-24
