evidence_id,observation,conditions
EV-0522,"The manual requires using the grips beneath the chassis, waiting at least thirty minutes before moving the oven, and keeping 30 cm clear behind and at the sides and 1 m clear in front.","European manual checked on 24 August 2026; pages 5, 17 and 18; outdoor appliance to be placed on a stable, non-combustible surface; the manual gives no transport temperature."
EV-0523,"In a side-by-side comparison, the Tread reaches 700°F in 14 min 30 s versus 20 minutes for the Arc Lite; the two stone floors then fall back to 150°F in 38 and 43 minutes respectively.","One session; data logger and probes stated to support 1,200°F; wind not quantified; propane cylinders swapped during the session; ambient temperature and exact probe locations not published."
EV-0524,The Tread reaches 850°F in 23 minutes versus 36 minutes for the Arc Lite; the author repeats his trials with three cylinders on the Arc Lite and publishes a maximum of 922°F.,One comparison; ovens at full power; threshold chosen by the author; outdoor temperature and exact sensor location not published.
EV-0525,"After twenty minutes of stabilisation at 850°F and a pizza baked for 90 seconds, the Tread returns to 850°F in 2 min 45 s versus 7 minutes for the Arc Lite.","One pizza per oven; stone floors stated to be at 730 and 725°F just after baking; dough, weather and repeatability of the series not detailed."
EV-0526,"The comparison shows upper handles, stone retention, a quick gas connection and hose storage on the Tread; the Arc Lite keeps a fixed hose and grips beneath the chassis.",Visual observation of two units; the Tread's transport accessories are sold separately.
EV-0527,"Across eight pizzas from 9 to almost 12 inches, the author reports that the smaller ones turn easily, prefers 10 to 11 inches and does not wait for the stone floor to recover when the pace remains relaxed.",One session; 63% hydration dough; 24 h cold fermentation followed by around 5 h at ambient temperature; preheating of around 30 minutes; stone floor stated to be between 750 and 800°F before launches.
EV-0528,"Two direct comparisons see the Tread reach the chosen heating threshold faster than the Arc Lite, without supporting calculation of an average difference.","Synthesis of two distinct publishers; thresholds, instruments, outdoor conditions and protocols differ."
EV-0529,The Arc Lite is the most sensible choice if the oven will remain at home; the Tread's additional cost is justified mainly by frequent transport or pizzas baked in very close succession.,"Decision inference based on dated French prices, transport actions, one recovery measurement and an Arc Lite series at a relaxed pace."
EV-0600,The French range presents two current mixers: the 4.5 L Halo Core at €599 and the 7 L Halo Pro at €799.,French inventory and prices recorded on 24 August 2026; availability and prices subject to change.
EV-0601,"Ooni states a 4.5 L bowl, a dough range from 500 g to 2.5 kg, 20 speeds, 300 W and a weight of 10.55 kg.","French product page checked on 24 August 2026; stated accessories: spiral hook and breaker bar, beater, geared whisk, lid and splash guard."
EV-0602,"Ooni states a 7 L bowl, a dough range from 1 to 5 kg, 58 speeds, 750 W, a weight of 14.6 kg and a shut-off timer.",French product page checked on 24 August 2026.
EV-0603,"The launch video shows the Halo Pro and Halo Core side by side, followed by the Core operating on its own.",Official ten-second Ooni video; no kneading result published.
EV-0610,"A batch of around 4.52 kg at 70% hydration is kneaded for around sixteen minutes, with a stated final speed of 260 rpm.","One session; 2,612 g flour, 1,828 g water, 78 g salt and yeast; water incorporated in several stages; type 00 flour; final temperature not published."
EV-0611,"Near the end, the machine becomes louder and moves slightly; it completes the batch and the dough passes the windowpane test shown on screen.",Same session of around 4.52 kg at 70%; visual and audible observation on one unit; no repetition.
EV-0612,"Across two bread doughs, the first comes out warm enough to accelerate fermentation; the second, prepared with chilled water, comes out at ambient temperature after eight minutes and ferments correctly.",One Halo Pro sent by Ooni; two batches of hoagie bread; masses and starting and finishing temperatures not published.
EV-0613,"After two months and several recipes, the journalist reports having overkneaded two shokupan doughs before identifying the problem; the timer does not assess gluten development.","One unit used for pizzas, breads, biscuits, muffins and cream; no standardised protocol or complete record of mass and temperature."
EV-0614,"After fermentation, a dough intended for three pizzas approaches the top of the bowl; the dial offers 20 settings with no individual marking for each speed.","Initial handling of a recently launched appliance; dough mass, fermentation duration and temperature not published."
EV-0620,The Halo Core is the sensible choice when usual batches remain between 500 g and 2.5 kg; the Halo Pro becomes relevant above that range or if its timer is genuinely useful.,"Decision inference based on the dough ranges, weights and dated prices of both models."
EV-0621,The motor's thermal protection and automatic shut-off do not replace monitoring the temperature and development of the dough.,Cautious inference based on manufacturer statements and third-party observations.
EV-0622,"With the same formula and programme, a first dough finishes at 28.6°C; a second prepared with water lowered to 11.9°C finishes at 26.4°C.","Two kneads; 1 kg T65 flour, 650 g water, 18 g salt and 8 g fresh yeast; 4 minutes at 30% then 6 minutes at 60%; ambient temperature and flour temperature recorded before the second trial."
EV-0623,"In a comparison using a formula stated to be at 88% hydration, the author judges development to be similar on both appliances; she also reports that 600 to 700 g can climb the Core's hook and need to be pushed back down, while a 500 g trial reportedly worked.","Exact mass of the head-to-head trial, speeds, durations, final temperatures and repetitions not published; exploratory observations on one unit of each appliance."
EV-0624,A manufacturer's stated minimum dough quantity must not be presented as a guaranteed comfort threshold for every recipe.,Cautious inference based on manufacturer ranges and a paid comparison that describes interventions on some small doughs without a reproducible protocol.
EV-0700,"The French collection presents seven standalone ovens: Dome XL (Gen 2), Dome (Gen 2), Arc XL, Arc, Arc Lite, Tread and Roccbox.",Inventory checked on 24 August 2026; packs and colour variants are not counted as distinct ovens; prices and availability subject to change.
EV-0701,"The most useful way to choose is to distinguish first between a fixed installation and an oven that will be moved, then consider how many pizzas will actually be baked at the same time and the desired fuel.","Purchase inference based on the published weights, dimensions, capacities and fuels of the seven models; no shared performance is inferred."
EV-0702,"Gozney displays €2,499.99, a weight of 73 kg, external dimensions of 946 × 697 × 997 mm and a stated capacity of one 18-inch pizza, two 12-inch pizzas or three 10-inch pizzas.","French page checked on 24 August 2026; wood, charcoal and propane stated; price and availability subject to change."
EV-0703,"The page states a removable 30 mm cordierite stone floor, three-layer insulation, a display for air and stone-floor temperatures, a timer and two meat probes.",Manufacturer characteristics; the oven arrives assembled and Gozney recommends four people for unboxing because of its weight.
EV-0704,The Dome XL (Gen 2) is justified mainly as a fixed part of an outdoor kitchen when several pizzas or several dishes genuinely need to cook together.,"Usage inference based on 73 kg, a width of 94.6 cm and the stated capacities; the corpus does not measure the throughput gain for a solo cook."
EV-0705,"Gozney displays €1,999.99, a weight of 62 kg, external dimensions of 826 × 652 × 986 mm and a stated capacity of one 16-inch pizza or two 10-inch pizzas.","French page checked on 24 August 2026; wood, charcoal and propane stated; price and availability subject to change."
EV-0706,"The page states a removable 30 mm cordierite stone floor, a display for air and stone-floor temperatures, a timer and two meat probes.",Manufacturer characteristics; the oven arrives assembled and Gozney recommends four people for unboxing because of its weight.
EV-0707,The standard Dome appears sufficient for one large pizza or two small ones; the XL's additional €500 and 11 kg mainly make sense when its width is used regularly.,"Purchase inference based on manufacturer prices, weights, dimensions and capacities; no shared independent comparison is available."
EV-0708,"Gozney displays €699.99, a weight of 21.5 kg, external dimensions of 480 × 564 × 342 mm and a chamber of 377 × 462 × 173 mm for pizzas up to 35 cm.","French page checked on 24 August 2026; outdoor propane oven, removable 20 mm cordierite stone floor and stated maximum of 500°C; price subject to change."
EV-0709,"The Arc saves €200, 5 kg and 5 cm in width compared with the Arc XL; it appears more suitable if pizzas remain close to 30 to 32 cm.","Purchase inference based on manufacturer dimensions, weights, prices and diameters; no shared measurement establishes a difference in baking."
EV-0710,"Gozney displays the Roccbox at €399.99 instead of €499.99, with a 12-inch pizza format, a removable propane burner, folding legs and a wood burner sold as an option.","French page checked on 24 August 2026; launch peel and gas burner stated to be in the box; promotion, price and availability subject to change."
EV-0711,"The Gozney help centre states a weight just under 20 kg and, with the legs unfolded, a height of 473 mm, a depth of 540 mm and a width of 413 mm.",Manufacturer measurements; opening stated as 300 × 88 mm and stone floor as 310 × 340 mm; no tolerance is published.
