evidence_id,observation,conditions
EV-0091,"Der Hersteller nennt einen Bereich von 20 bis 450 °C, eine Stromversorgung mit 220 bis 240 V und 1 600 W, ein Gewicht von 17,6 kg und einen 10 mm dicken Stein.",Herstellerangabe für Frankreich
EV-0092,Der Hersteller verspricht Backbereitschaft in 12 Minuten und eine neapolitanische Pizza in 90 Sekunden.,"Herstellerversprechen, von Four à Nu nicht nachgeprüft"
EV-0100,Die auf der Seite Koda 2 zusammen angezeigten imperialen und metrischen Maße sind nicht alle gleichwertig; sie müssen vor dem Vergleich erneut überprüft werden.,Kontrolle der internen Kohärenz ohne stille Korrektur
EV-0101,Die bei zwei Abmessungen des Koda 16 angezeigte metrische Einheit m widerspricht dem Kontext und darf nicht als Meter übernommen werden.,Interne Konsistenzprüfung ohne Ersetzung durch einen angenommenen Wert
EV-0102,Die Maßtabelle des Karu 2 wiederholt für die dritte Abmessung die Bezeichnung „Breite“; die genaue Ausrichtung bleibt zu bestätigen.,Interne Konsistenzprüfung ohne stillschweigende Korrektur
EV-0103,"Die Präsentation mit 30 cm und die FAQ-Angabe einer 33-cm-Fläche beschreiben wahrscheinlich zwei verschiedene Begriffe, doch die Seite lässt keine Normalisierung ohne Klarstellung zu.",Interne Konsistenzprüfung ohne stillschweigende Korrektur
EV-0200,"Die Abfolge führt vom Auspacken zum Anzünden, nachdem die Füße ausgeklappt, der Backstein eingesetzt und der Propangasanschluss hergestellt wurde.",Inbetriebnahmeablauf ohne Zeitmessung der Montage
EV-0201,"Der geringe Abstand an der Rückseite erschwert es, bei heißem Ofen mit einer Bürste hindurchzugelangen.",Ergonomische Beobachtung an nur einer Konfiguration
EV-0202,Die Drittquelle misst mehr als 800 °F auf dem Backstein nach 20 Minuten und etwa 900 °F nach 30 Minuten.,Regnerischer Tag bei 56 °F; Infrarotthermometer; Messung des Backsteins; nur eine Sitzung
EV-0203,"Eine neapolitanische Pizza wird in etwa 60 Sekunden gebacken, nachdem sie laut Angabe bei rund 800 °F eingeschossen wurde.",Poolish-Teig mit 65 % Hydration; maximale Flamme; Schätzung aus dem Video; eine Wiederholung
EV-0204,"Die Drittquelle schießt New-York-Pizzen bei einer angegebenen Backsteintemperatur von etwa 650 °F ein, schaltet die Flamme beim Einschießen aus und stellt sie anschließend wieder auf mittlere Stufe.",Teig mit 62 % Hydration; drei Tage kalte Gare; 12-Zoll-Pizzen; punktuelle Messung
EV-0210,Die Drittquelle misst 400 °C in der Mitte des Backsteins nach 25 Minuten und anschließend ein Plateau nahe 450 °C nach 35 Minuten.,"Ofen anfangs verschneit; Außenluft 2 °C; IR-Thermometer; Messung in der Mitte nach 15 Minuten, danach fünfminütlich über eine Stunde"
EV-0211,"Eine 12-Zoll-Pizza wird um 90 Grad gedreht, zunächst nach etwa 30 Sekunden und anschließend alle 15 Sekunden; die Backzeit unter winterlichen Bedingungen liegt bei knapp zwei Minuten.",Teigling 235 g; kalte Bedingungen derselben Sitzung; sichtbare Zeitmessung; ein ausführlich dokumentierter Backvorgang
EV-0212,Die Flasche verliert nach zwei Stunden bei voller Leistung etwas mehr als 400 g.,Flasche vorher und nachher gewogen; zwei Stunden; der Autor bezeichnet die Methode selbst als wenig genau; eine Sitzung
EV-0213,"Der Backstein erreicht etwa zwei Minuten nach dem Entfernen einer Platte, die ihm zwei Minuten lang Wärme entzogen hatte, wieder rund 400 °C.",Ausgangstemperatur des Backsteins 400 °C; Ooni-Platte zwei Minuten aufgelegt; IR-Messung; ein Zyklus
EV-0220,Ein einziger Drehregler steuert beide Brenner gleichzeitig; keine Seite lässt sich separat regeln oder ausschalten.,Beobachtung der Bedienelemente an einem von der Autorin gekauften Exemplar
EV-0221,"Die gezeigte Routine besteht darin, bei voller Flamme vorzuheizen und die Leistung vor dem Backen auf einen Bereich zwischen drei Vierteln und voller Leistung zu senken.",Nach einem Jahr angegebene Nutzungsroutine; Vorheizdauer nicht als Messwert übernommen
EV-0222,"Die Autorin prüft den Backstein mit einem Laserthermometer, zielt in der Mitte auf 430 °C und schießt weiter vorne ein, wenn der hintere Bereich 440 °C überschreitet.",Empirischer Zielwert einer Nutzerin; punktuelle Messung; keine bezifferte Wiederholung
EV-0223,"Auf Tischhöhe spiegelt der Glasabweiser die Umgebung; die Autorin muss sich hinhocken, um unter dem Glas hindurchzusehen.",Ergonomische Beobachtung abhängig von Tischhöhe und Beleuchtung
EV-0230,Der Innenraum und zwei unabhängig regelbare Brenner ermöglichen getrenntes Backen auf beiden Seiten.,Funktionsbeobachtung; keine Messung der Gleichmäßigkeit
EV-0231,"Eine erste neapolitanische Pizza wird in genau 60 Sekunden gebacken, nachdem sie bei 910 °F eingeschossen wurde; anschließend meint die Drittquelle, der Backstein hätte einige Sekunden mehr vertragen.",Brenner auf hoher Stufe; angegebene Backsteintemperatur; eine Pizza; abschließende visuelle Beurteilung
EV-0232,Zwei Pizzen werden gleichzeitig in etwa 80 Sekunden gebacken; die Ergebnisse werden auf beiden Seiten als ähnlich beschrieben.,Brenner auf mittlerer bis mittelhoher Stufe; ein Pizzapaar; visuell geschätzte Ähnlichkeit ohne Messgerät
EV-0233,"Eine 20-Zoll-New-York-Pizza reißt beim Einschießen leicht ein und wird zunächst auf einem Pizzagitter gebacken, bevor sie direkt auf dem Backstein fertiggebacken wird.",Ein Backvorgang; sichtbare Einschränkung bei der Handhabung
EV-0240,"Die Abfolge zeigt die Montage des Schornsteins, des Backsteins, der Tür und des hinteren Brenners.",Montagedauer mit etwa zehn Minuten angegeben; vollständige Zeitmessung nicht sichtbar
EV-0241,Der Backstein erreicht bei Messungen im Abstand von jeweils fünf Minuten 950 °F.,Lufttemperatur 68 °F; Infrarotthermometer; die anderen Öfen der Testgrafik wurden bei 56 °F getestet und sind daher nicht direkt vergleichbar
EV-0242,"Eine Pizza wird in 75 Sekunden gebacken, nachdem sie bei 912 °F eingeschossen wurde; die Unterseite ist vor der Oberseite fertig.",Poolish-Teig; hohe Flamme; eine Pizza
EV-0243,"Ein zweiter Versuch wird in 82 Sekunden gebacken, nachdem er bei 865 °F eingeschossen wurde.","Teig mit 60 % Hydration; Tür während der ersten Hälfte geschlossen, danach für die Drehungen geöffnet; eine Pizza"
EV-0244,Ein bei 664 °F eingeschossener New-York-Versuch wird als zu heiß beurteilt; ein zweiter wird bei 534 °F vier Minuten lang mit niedriger Flamme und abschließend wieder erhöhter Flamme gebacken.,Zwei Pizzen; visuelle Beurteilung des ersten Ergebnisses; Flammenprotokoll zwischen den Versuchen geändert
EV-0250,Der Wechsel von Gas zu Holz erfordert das Lösen zweier Schrauben und den Austausch des Brenners gegen die Rückwand.,Vorführung an einer Testeinheit; Gasbrenner separat erhältlich
EV-0251,Das eingebaute Thermometer misst die Oberfläche des Backsteins nicht direkt; der Autor verwendet zusätzlich ein Infrarotthermometer.,Beobachtung des Geräts und der Messinstrumente dieser Sitzung
EV-0252,"In dieser Gassitzung dauert es etwa 30 bis 40 Minuten, bis die volle Temperatur erreicht ist.",Gas bei voller Leistung; Ausgangstemperatur des Backsteins 44 °F; eingebautes Thermometer und IR; Vorheizen mit Holz nicht dokumentiert; eine Sitzung
EV-0253,"Die Flamme wird nach dem Einschießen reduziert und anschließend wieder erhöht, um die Oberseite bei mehreren Drehungen zu bräunen.",New-York-Pizzen; Teig mit 65 % Hydration; Ergebnis nicht instrumentell gemessen
EV-0260,"Die Abfolge zeigt die Voreinstellungen für neapolitanische Pizza, New-York-Pizza und Pan-Pizza sowie einen manuellen Modus.",Nutzungserfahrung über drei Monate ohne Angabe der Pizzaanzahl und ohne wiederholbares Protokoll
EV-0261,"Das Fenster und die Beleuchtung ermöglichen es, die verschiedenen Bereiche der Pizza zu verfolgen, ohne die Tür regelmäßig zu öffnen.",Ergonomische Beobachtung; keine Wärmeverlustprüfung
EV-0262,Die Autorin prüft den Backstein mit einem IR-Thermometer und zeigt dank der oberen und unteren Heizelemente Backvorgänge mit wenig oder ganz ohne Drehung.,Qualitative Rückmeldung; keine Messung der Gleichmäßigkeit; kein aus diesem Video verwertbarer T-MES-Wert
EV-0270,"Das IR-Thermometer misst 800 °F auf dem Backstein nach 30 Minuten, während die Anzeige weniger als 700 °F ausweist; die gemessenen Positionen liegen zwischen 627 und 903 °F.",IR-Thermometer; mehrere Positionen; eine Sitzung; integrierte Anzeige im Vergleich zur Oberfläche
EV-0271,Acht 12-Zoll-Pizzen werden in etwa 90 Sekunden gebacken und dabei jeweils vier- bis fünfmal gedreht.,"Teig mit 64 % Hydration; 72 h Kaltgärung, anschließend eingefroren; Teiglinge 280 g; mittlere Flamme"
EV-0272,Der Backstein fällt von mindestens 800 °F vor dem Einschießen auf etwa 725 °F nach dem Backen und steigt dann in weniger als zwei Minuten wieder auf über 800 °F.,IR-Thermometer; Serie von acht Pizzen; angegebener Verlust nahe 75 °F
EV-0273,Ein erstes Detroit-Protokoll verbrennt die Pizza; ein zweiter Versuch mit fünf Minuten je Seite und größerem Abstand zum Brenner liefert ein sichtbar besseres Ergebnis.,Form 9 × 13 Zoll; Backstein 500 °F; minimale Flamme; Protokoll nach dem Fehlschlag geändert
EV-0274,"Eine 16-Zoll-Pizza, die zunächst in einer Form gebacken wird, weist eine unzureichend gebackene Mitte auf, bevor sie direkt auf dem Backstein fertiggebacken wird.",Kein passendes Pizzagitter vorhanden; eine Pizza; Einschränkung des Werkzeugs mit der Ofenleistung vermischt
EV-0300,Der Koda 2 Max erreicht angezeigte 400 °C nach 23 min 40 s; anschließend steigt die Anzeige rasch auf 413 °C.,Unterschiedliche Teige zwischen den Nutzern; ein Backvorgang je Ofen; Umgebungstemperatur nicht instrumentell gemessen
EV-0301,Nach 40 Minuten wird der holzbefeuerte Karu 2 mit dem Infrarotthermometer bei etwa 350 °C gemessen.,Unterschiedliche Teige je Nutzer; ein Backvorgang je Ofen; Brennstoff nicht gewogen
EV-0302,"Der Koda 2 zeigt 261 °C an, während die IR-Messungen etwa 450 bis 470 °C ergeben; später zeigt die Abfolge, dass sein Fühler falsch angeschlossen war.",Ungültige Messung als Hinweis zur Anschlusskontrolle beibehalten; nicht als Leistungswert verwenden
EV-0303,"Die Pizza aus dem Elektroofen braucht etwa fünf Minuten; die Teilnehmenden beurteilen den Backvorgang als recht gleichmäßig, stellen aber einen stärker überbackenen Mozzarella fest.",Volt-Version nicht angegeben; anderer Teig und anderer Nutzer; ein Backvorgang
EV-0304,"Der U-förmige Brenner heizt von drei Seiten und erfordert weniger Drehungen, doch während der Eingewöhnung werden mehrere Pizzaränder zu stark gebräunt.",Unterschiedliche Teige je Nutzer; ein Backvorgang je Ofen; Neulinge an diesem Modell
EV-0310,Nach 5 min 55 s wird die Backsteintemperatur mit etwa 310 °C angegeben.,Propangas aus einer Cube-Flasche; volle Leistung; IR-Thermometer; eine Sitzung
EV-0311,Die Messung des Backsteins überschreitet nach etwa zwölf Minuten 400 °C.,Propangas aus einer Cube-Flasche; volle Leistung; IR-Thermometer; eine Sitzung
EV-0312,"Nach 16 min 54 s misst der Videomacher etwa 435 °C, in einem anderen Bereich rund 400 °C.",Propangas aus einer Cube-Flasche; volle Leistung; IR-Thermometer; eine Sitzung
EV-0313,Der einzelne hintere Brenner erfordert mehr Drehungen der Pizza als ein L- oder U-förmiger Brenner.,Beobachtung der Bauweise und zugeschriebene Einschätzung; nur ein Exemplar
EV-0314,"Die einzige Pizza wird ungefähr alle vier Sekunden um eine Vierteldrehung gedreht; anschließend weist der Autor darauf hin, dass die an der Decke entlangschlagende Flamme die Mozzarella rasch überbacken kann.",Nur eine Pizza; Teigrezept und Temperaturerholung nach dem Backen nicht dokumentiert
EV-0320,Nach mindestens 45 Minuten überschreitet der Backstein 500 °C.,Zeitablauf durch einen Anruf unterbrochen; Aufheizdauer nicht verwertbar; IR-Thermometer
EV-0321,"Die erste Pizza wird bei minimaler Flamme eingeschossen; anschließend wird die Flamme erhöht, um die Backzeit zu verkürzen. Die Unterseite wird als richtig gebacken beurteilt.",Eine Pizza; Ausgangstemperatur höher als für den angestrebten Einsatz; zugeschriebenes Ergebnis
EV-0322,"Vor der zweiten Pizza werden zwei Messwerte von 500 und 515 °C genannt; der Versuch beginnt bei voller Leistung, danach wird die Flamme reduziert.",Zwei punktuelle Messungen mit dem IR-Thermometer; eine Pizza
EV-0323,"An einem zweiten windigen Tag werden drei Pizzen und ein Panuozzo mit visuell gleichmäßigen Ergebnissen gebacken, jedoch ohne Zeitmessung oder vollständige Temperaturreihe.",Wind nicht beziffert; mehrere Zubereitungen; visuelle Beobachtung
EV-0330,"An einem ersten, sehr windigen Tag heizt der Ofen nur schwer auf; bei einer Pizza geht der Rand auf, die Unterseite bleibt jedoch unzureichend gebacken.","Starker, nicht gemessener Wind; erste von zwei Sitzungen"
EV-0331,"Am zweiten Tag zeigt die Frontanzeige nach etwa 25 Minuten 364 °C, während der Backstein links mit 440 °C und rechts mit 412 °C gemessen wird.",Als windstill bezeichneter Tag; Frontthermometer und IR; eine Sitzung
EV-0332,"Vor zwei gleichzeitig gebackenen 12-Zoll-Pizzen überschreitet die Anzeige 400 °C, während die IR-Messungen etwa 430 und 440 °C ergeben; der Vorgang gelingt, wird vom Videomacher aber als schwierig für Einsteiger beurteilt.",Ein Pizzapaar; Umgebungstemperatur nicht instrumentell gemessen; Messung und Einschätzung zugeschrieben
EV-0333,Die Unterseite der ersten Pizza bleibt blass; die beiden folgenden sind nach mehr Wärmeansammlung besser gebacken.,Drei Pizzen; visuelle Bewertung; nicht konsistentes Protokoll
EV-0334,"Beim Panuozzo zeigt die Front 328 °C an, gegenüber etwa 410 und 430 °C in den beiden Backsteinzonen; die Unterseite muss nachgebacken werden.",Eine Zubereitung; Abweichung zwischen angezeigter Lufttemperatur und Backstein
EV-0340,Der zunächst auf 270 °C eingestellte Ofen zeigt nach zwanzig Minuten etwa 280 °C an; der Videomacher misst ungefähr 315 °C auf dem Backstein und 300 °C an der Decke.,Eine Sitzung; IR-Thermometer; Einstellung und Messflächen getrennt
EV-0341,"Eine Margherita wird im Neapel-Programm bei etwa 430 °C mit einem Ziel von 1 min 30 s eingeschossen; die Unterseite wird als gebacken beurteilt, doch das hohe Tempo bringt den Autor aus dem Rhythmus.",Am Vortag zubereiteter T00-Teig mit 75 % Hydration; ein Backvorgang
EV-0342,"Die römische Pizza, die bei etwa 350 bis 360 °C mit Sauerteigteig gebacken wird, bleibt noch weich; der Videomacher schätzt, dass etwa dreißig Sekunden zusätzliche Backzeit nützlich gewesen wären.",T80-Teig mit Sauerteig; Stil und Rezept anders als beim vorherigen Versuch
EV-0343,"Nach der Sitzung bevorzugt der Autor persönlich etwa 400 °C für seinen neapolitanischen Teig und 370 °C für seinen Sauerteig; er weist darauf hin, dass die Einstellung vom Teig abhängt.",Persönliche Präferenz aus unterschiedlichen Rezepten; keine standardisierte Wiederholung
EV-0350,"Der Wandfühler steigt von 55 °C auf 100 °C in vier Minuten, auf 200 °C in 6 min 30 s, auf 300 °C in weniger als acht Minuten und auf 400 °C in 9 min 48 s.",Pellets; Holzkohle; leicht feuchtes Holz; Wandfühler statt Backsteinmessung; eine erste Sitzung
EV-0351,"Die ersten drei Pizzen benötigen etwa 90 Sekunden bis zwei Minuten; anschließend meint der Autor, der Backstein hätte besser etwa 430 bis 450 °C haben sollen.",T45-Teig; unerfahrener Videomacher; Backsteintemperatur zu diesem Zeitpunkt nicht gemessen
EV-0352,"Vier Tage später erreicht der Ofen 474, dann etwa 500 bis 520 °C; ein Backvorgang von 1 min 20 s zeichnet den Rand zu stark, während der nächste bei etwa 60 Sekunden beendet wird.",Zweite Sitzung; Festbrennstoff; zwei Pizzen; Messinstrumente nicht kalibriert
EV-0353,"Mit Gas wird ein Naan bei etwa 270 °C drei bis vier Minuten lang erprobt, eine Brioche bei etwa 160 bis 180 °C und anschließend mehrere Pizzen jeweils rund 90 Sekunden.",Gasmodul; unterschiedliche Rezepte und Temperaturen; nicht standardisierte Serie
EV-0354,"Der Tester gibt an, geschmacklich keinen Unterschied zwischen Gas und Festbrennstoffen wahrzunehmen.",Verkostung weder blind noch standardisiert; persönliche Einschätzung
EV-0360,"Der Videomacher füllt den Pelletbehälter, kontrolliert die Schornsteinöffnung und nennt eine Wartezeit von 15 bis 20 Minuten vor dem Backen.",Einsatz im Freien; voller Pelletbehälter; natürliche Pellets und Anzünder; Wind und Umgebungstemperatur nicht dokumentiert
EV-0361,Nach etwa zwanzig Minuten liegt der angegebene IR-Messwert nahe 500 °C; zwischen den beiden Pizzen nennt der Autor 473 °C und füllt Pellets nach.,Zwei Messwerte; Wert nahe 500 °C unvollständig transkribiert; nur zwei Pizzen
EV-0362,Die erste Pizza wird nach etwa zwanzig Sekunden kontrolliert und anschließend alle 10 bis 15 Sekunden gedreht; sie ist nach etwa 1 min 50 s fertig.,Eine Pizza; eine Seite etwa fünf Sekunden zu lange belassen; Zeitmessung im Video
EV-0363,Die zweite Pizza wird schneller zubereitet und weist eine gleichmäßigere Unterseite sowie einen luftig aufgegangenen Pizzarand auf.,Visuelle Beobachtung; keine Zeitmessung angezeigt; insgesamt zwei Pizzen
EV-0364,Der Autor betont das häufige Nachfüllen von Pellets und die erforderlichen Drehungen.,Qualitative Rückmeldung aus einer Sitzung; Pelletmenge nicht gemessen
EV-0370,Nach drei Minuten werden in der Mitte etwa 155 °C für den gasbetriebenen Koda und 93 °C für den holzbefeuerten Branner gemessen.,Derselbe Teig für beide Öfen; Start mit Gas beziehungsweise Holz; IR-Thermometer; je ein Exemplar pro Ofen
EV-0371,"Später werden für beide Backsteine etwa 233 bis 241 °C angegeben; die Präsentierenden beobachten, dass der Branner den Koda nach seinem langsameren Start einholt.",Derselbe Teig; genaue Vergleichszeitpunkte nicht standardisiert; eine Sitzung
EV-0372,"Die beiden Pizzen aus derselben Charge weisen als ähnlich beurteilte Unterseiten und Bräunungen auf; der Koda hält eine konstante Temperatur leichter, während beim Branner die Holzscheite überwacht werden müssen.",Eine Pizza je Ofen; T00-Mehl; 60 % Hydration; etwa 30 Stunden kalt geführt
EV-0373,"Die Verkostenden geben an, bei diesen kurzen Backvorgängen keinen Unterschied zwischen Holz und Gas wahrzunehmen.",Verkostung nicht als blind dokumentiert; eine Pizza je Ofen
EV-0374,Etwa fünfzehn Minuten nach dem Ausschalten wird der Backstein des Koda mit 150 °C und der des Branner mit 230 °C angegeben.,Restwärme nach dem Ausschalten; unterschiedliche Bauweisen und Brennstoffe; eine Sitzung
EV-0400,"Der Karu 12 erscheint vor allem für Käufer sinnvoll, die in kompaktem Format mit Holz oder Holzkohle arbeiten möchten; sein Nutzen sinkt, wenn einfacher Gasbetrieb im Vordergrund steht.","Nutzungsableitung auf Grundlage der angegebenen Brennstoffe, des 30-cm-Formats und des Gewichts von 12 kg; keine Messung durch Dritte verfügbar"
EV-0401,Der Karu 2 Pro eignet sich eher für einen festen Aufstellort und regelmäßigen Betrieb mit Feuer als für das Verstauen nach jedem Backvorgang.,"Nutzungsableitung auf Grundlage des Gewichts von 28,4 kg, des großen Formats, des beobachteten Brennstoffwechsels und des fehlenden gemeinsamen Protokolls"
EV-0402,Der Karu 2 ist ein sinnvoller Einstieg in den Umgang mit Holz oder Holzkohle; der Gasbrenner bleibt eher eine Ausweichlösung als der Hauptgrund für den Kauf.,"Nutzungsableitung auf Grundlage des Formats, der angegebenen Brennstoffe und der in nicht vergleichbaren Sitzungen beobachteten Handgriffe"
EV-0403,Der Koda 12 erscheint für einen kompakten Gasbedarf sinnvoll; der Quellenkorpus erlaubt keine Empfehlung zu Leistung oder Durchsatz.,"Nutzungsableitung auf Grundlage des 30-cm-Formats, des Gewichts von 9,2 kg und der fehlenden Messung durch Dritte"
EV-0404,"Der Koda 16 bietet nützlichen Bewegungsspielraum für große Pizzen, doch Gewicht und Format sprechen für einen festen Aufstellort.","Nutzungsableitung auf Grundlage des beworbenen Durchmessers, des veröffentlichten Gewichts und eines nicht standardisierten Vergleichs durch Dritte"
EV-0405,Der Nutzen des Koda 2 Max hängt vom häufigen Einsatz seiner beiden Zonen ab; sein Gewicht von 43 kg und die verfügbaren Sitzungen belegen keinen allgemeinen Durchsatzgewinn.,"Nutzungsableitung auf Grundlage der beworbenen Kapazität, des Gewichts und gleichzeitiger Backvorgänge ohne wiederholte Serie"
EV-0406,Der Koda 2 Pro erscheint vor allem für große Pizzen und einen festen Aufstellort sinnvoll; für Pizzen um 30 cm ist sein Format schwer zu rechtfertigen.,"Nutzungsableitung auf Grundlage des beworbenen Durchmessers von 45 cm, des Gewichts von 30 kg und der beobachteten Drehungen"
EV-0407,"Der Koda 2 bietet im aktuellen Ooni-Korpus den ausgewogensten Gaskompromiss für einen Haushalt, der mehr Spielraum als bei einem 30-cm-Format möchte, ohne auf 30 kg zu gehen.","Nutzungsableitung auf Grundlage von Durchmesser, Gewicht, nicht vergleichbaren Aufheizmessungen und beobachteten Drehbewegungen"
EV-0408,"Der Volt 2 ist das zuerst zu prüfende Modell, wenn Backen im Innenraum unverzichtbar ist; die Quellen rechtfertigen seine Wahl nicht mit einem allgemeinen Schnelligkeitsversprechen.","Nutzungsableitung auf Grundlage des beworbenen Innenraumeinsatzes, der beobachteten Bedienelemente und von Backvorgängen mit unterschiedlichen Einstellungen"
EV-0409,"Zulässiger Aufstellort und akzeptierte Handgriffe müssen vor der Modellwahl stehen; der Quellenkorpus erlaubt keine allgemeine Leistungsrangfolge von Gas, Strom und Festbrennstoffen.",Entscheidungsableitung auf Grundlage der beworbenen Einsätze und eines begrenzten Drittvergleichs zwischen Gas und Holz
EV-0410,"Die Auswahl lässt sich sinnvoll eingrenzen, indem zuerst Aufstellort und Energieart, dann Durchmesser und Gewicht gefiltert werden, bevor der bislang wenig gemessene Durchsatz betrachtet wird.",Ableitung des Auswahlwegs auf Grundlage des französischen Bestands und der veröffentlichten Merkmale der wichtigsten Formate
EV-0500,"Gozney nennt einen Ofen mit 530 × 629 × 342 mm, eine Backkammer mit 427 × 517 × 173 mm, eine Öffnung mit 427 × 95 mm und ein Gewicht von 26,5 kg.",Französisches Produktblatt geprüft am 24. August 2026; angegebenes Versandgewicht 33 kg; herausnehmbarer 20-mm-Backstein aus Cordierit
